names,GK vs. WKY
Ifit3_Ifit1,7.1168356
Usp18_Ifit1,7.105887
Oas1a_Ifit1,7.105887
Gstm4_Gsta4,7.094938
Gstt1_Gsta4,7.094938
Oasl_Ifit1,7.094938
Ifit1_Eif2ak2,7.0839887
Taf9_Taf13,7.0511417
Taf13_Taf11,7.0511417
Zdhhc8_Abca1,7.040193
Taf5_Taf13,7.018295
Irf7_Ifit1,7.007346
Gstm4_Cyp1a2,6.996397
Gstm4_Cyp2e1,6.985448
Taf6l_Taf13,6.974499
Pcgf6_Mga,6.974499
Gstt1_Gstm4,6.974499
Taf8_Taf13,6.96355
Tbp_Taf13,6.952601
Nfu1_Isca1,6.9416523
Taf13_Polr2j,6.9416523
Gstm4_Gpx8,6.9416523
Gstm4_Gpx7,6.9416523
Taf6_Taf13,6.930703
Pik3r1_Mtor,6.919754
Slc25a17_Pxmp4,6.919754
Iscu_Isca1,6.9088054
Pxmp4_Fis1,6.9088054
Taf3_Taf13,6.897856
Rxra_Abca1,6.886907
Tp53_Taf13,6.886907
Pxmp4_Abcd3,6.85406
Pik3r1_Pdgfrb,6.85406
Pik3r1_Grap2,6.843111
Taf4b_Taf13,6.8321624
Gsta4_Gpx7,6.8321624
Mx1_Ifit1,6.810264
Prkaca_Abca1,6.810264
Pxmp4_Gdap1,6.810264
Lgals9_Cd44,6.7993155
Pik3r1_Akt3,6.7993155
Nr1h3_Abca1,6.7883663
Prkcz_Pik3r1,6.7883663
Taf7l_Taf13,6.7883663
Raf1_Pik3r1,6.777417
Ptpn11_Pik3r1,6.7664685
Taf2_Taf13,6.7664685
Gstm4_Ephx1,6.7555194
Pik3r1_Nrg2,6.7336216
Pxmp4_Pex14,6.7226725
Pxmp4_Pex26,6.7117233
Pik3r1_Pik3c3,6.7007747
Tbpl1_Taf13,6.6898255
Pxmp4_Pex3,6.6679277
Pik3r1_Pi4kb,6.6679277
Pik3r1_Ar,6.6460295
Mga_Max,6.6460295
