symbol,s1 -24h,s1 0h,s1 5h,s1 12h,s1 21h,s1 29h,s1 36h,s1 45h,s1 53h,s1 60h,s1 69h,s1 77h,s1 84h,s1 93h,s1 101h,s1 108h
A1CF_APOB,3.38E-07,5.36E-07,1.40E-07,3.58E-07,4.37E-07,0.000826932,5.47E-07,1.18E-06,1.69E-06,5.55E-08,4.02E-07,1.38E-07,7.33E-07,7.19E-07,8.24E-07,6.28E-08
A2M_ALB,9.19E-09,1.34E-08,1.24E-08,4.92E-09,1.85E-08,0.000255755,2.62E-08,3.01E-09,1.20E-09,3.91E-08,5.99E-10,1.13E-08,6.51E-09,2.17E-08,9.85E-10,1.41E-08
A2M_AMBP,3.11E-08,3.58E-07,3.51E-08,6.79E-08,2.78E-08,0.000290603,3.10E-07,6.05E-08,1.02E-07,1.08E-07,3.35E-08,1.47E-08,8.88E-09,3.73E-08,4.06E-09,2.91E-09
A2M_APOA1,2.08E-07,1.51E-08,3.82E-07,1.55E-08,4.93E-07,0.001086217,5.00E-07,1.87E-07,7.92E-08,6.45E-08,9.93E-08,2.76E-08,1.48E-07,2.14E-08,4.70E-08,2.80E-07
A2M_APP,2.37E-07,1.24E-07,7.81E-08,2.61E-07,1.43E-07,0.00039345,4.27E-07,1.02E-07,2.60E-07,5.46E-08,1.79E-09,1.07E-08,2.17E-08,6.81E-09,1.04E-07,2.37E-07
A2M_CLU,3.16E-07,8.07E-08,1.28E-07,6.79E-08,2.97E-07,0.000200016,4.17E-07,2.94E-07,2.16E-07,3.06E-07,6.05E-08,2.34E-07,9.31E-08,6.25E-08,7.62E-07,2.79E-07
A2M_CP,2.37E-07,1.80E-09,1.59E-06,8.95E-08,1.16E-06,0.001630387,3.23E-07,3.36E-08,6.25E-08,4.52E-07,5.23E-07,3.25E-07,7.99E-07,3.26E-07,7.29E-08,1.91E-06
A2M_CTRB2,3.22E-08,2.15E-07,4.11E-07,2.87E-07,1.89E-07,0.000359296,6.96E-07,5.67E-07,3.81E-07,1.11E-07,1.92E-07,1.71E-07,4.64E-07,5.72E-07,1.28E-09,2.16E-07
A2M_HAMP,4.17E-07,4.09E-07,5.01E-07,5.07E-09,5.15E-07,0.00044096,6.60E-07,9.04E-07,1.45E-07,7.71E-08,4.43E-07,4.12E-07,1.69E-07,6.03E-08,1.58E-09,4.00E-07
A2M_HP,1.69E-06,9.24E-07,1.81E-06,9.09E-07,3.66E-07,0.000406691,2.06E-06,8.09E-07,2.01E-06,5.78E-07,5.63E-07,7.84E-08,8.85E-07,6.75E-07,3.28E-06,5.17E-08
